SpeciesCat_ISSCAAP_code,Species_AFSIS,CommName,Family,Order
33,Muraena spp,,Muraenidae,ANGUILLIFORMES
32,Ciliata spp,,Gadidae,GADIFORMES
33,Blennius spp,,Blenniidae,OTHER PERCIFORMES
33,Balistes spp,,Balistidae,TETRAODONTIFORMES
31,Arnoglossus spp,Scaldfishes nei,Bothidae,PLEURONECTIFORMES
33,Aprion spp,,Lutjanidae,PERCOIDEI
34,Allocyttus spp,,Oreosomatidae,ZEIFORMES
33,Aphareus spp,,Lutjanidae,PERCOIDEI
33,Acanthurus spp,,Acanthuridae,ACANTHUROIDEI
92,Gigartinaceae,Gigartina seaweeds nei,Gigartinaceae,RHODOPHYCEAE
63,Arctocephalus spp,Fur seals nei,Otariidae,PINNIPEDIA
56,Semele spp,Semeles nei,Semelidae,BIVALVIA
54,Perna spp,Perna mussels nei,Mytilidae,BIVALVIA
55,Pecten spp,Pecten scallops nei,Pectinidae,BIVALVIA
56,Ensis spp,Ensis razor clams nei,Solenidae,BIVALVIA
57,Sepioteuthis spp,Reef squids nei,Loliginidae,CEPHALOPODA
57,Sepiola spp,Sepiola bobtail squids nei,Sepiolidae,CEPHALOPODA
57,Sepiella spp,Sepiella cuttlefishes nei,Sepiidae,CEPHALOPODA
57,Todarodes spp,Todarodes flying squids nei,Ommastrephidae,CEPHALOPODA
57,Nototodarus spp,Nototodarus flying squids nei,Ommastrephidae,CEPHALOPODA
57,Berryteuthis spp,Berryteuthis gonate squids nei,Gonatidae,CEPHALOPODA
56,Tivela spp,Tivelas nei,Veneridae,BIVALVIA
42,Maja spp,Maja spider crabs nei,Majidae,BRACHYURA
42,Liocarcinus spp,Liocarcinus swimcrabs nei,Portunidae,BRACHYURA
42,Carcinus spp,Carcinus crabs nei,Portunidae,BRACHYURA
43,Thenus spp,Flathead lobsters nei,Scyllaridae,REPTANTIA
43,Scyllarus spp,Locust lobsters nei,Scyllaridae,REPTANTIA
43,Puerulus spp,Whip lobsters nei,Palinuridae,REPTANTIA
43,Linuparus spp,Spear lobsters nei,Palinuridae,REPTANTIA
43,Jasus spp,Rock lobsters nei,Palinuridae,REPTANTIA
45,Solenocera spp,Solenocera shrimps nei,Solenoceridae,NATANTIA
45,Processa spp,Processa shrimps nei,Processidae,NATANTIA
45,Plesionika spp,Plesionika shrimps nei,Pandalidae,NATANTIA
45,Pleoticus spp,Pleoticus shrimps nei,Solenoceridae,NATANTIA
45,Parapenaeus spp,Parapenaeus shrimps nei,Penaeidae,NATANTIA
45,Palaemon spp,Palaemon shrimps nei,Palaemonidae,NATANTIA
45,Hymenopenaeus spp,Hymenopenaeus shrimp nei,Solenoceridae,NATANTIA
45,Aristeus spp,Aristeus shrimps nei,Aristaeidae,NATANTIA
32,Urophycis spp,Urophycis nei,Gadidae,GADIFORMES
32,Trisopterus spp,Trisopterus nei,Gadidae,GADIFORMES
36,Tetrapturus spp,Spearfishes nei,Istiophoridae,SCOMBROIDEI
33,Symphodus spp,Symphodus wrasses nei,Labridae,PERCOIDEI
37,Stromateus spp,Butterfishes nei,Stromateidae,"STROMATEOIDEI, ANABANTOIDEI"
34,Patagonotothen spp,Patagonotothen nei,Nototheniidae,PERCOIDEI
33,Paranotothenia spp,Paranotothenia nei,Nototheniidae,PERCOIDEI
33,Notothenia spp,Notothenia nei,Nototheniidae,PERCOIDEI
31,Limanda spp,Limandas nei,Pleuronectidae,PLEURONECTIFORMES
33,Labrus spp,Labrus wrasses nei,Labridae,PERCOIDEI
33,Choerodon spp,Tuskfishes nei,Labridae,PERCOIDEI
38,Centroscyllium spp,Centroscyllium dogfishes nei,Squalidae,SQUALIFORMES
37,Atherina spp,Sand smelts nei,Atherinidae,ATHERINIFORMES
33,Argyrosomus spp,Meagres nei,Sciaenidae,PERCOIDEI
13,Anchoviella spp,Anchoviellas nei,Engraulidae,CLUPEIFORMES
13,P. mesopotamicus x C. macropomum,"Tambacu, hybrid",Characidae,CHARACIFORMES
38,Psammobatis spp,Psammobatis sand skates nei,Rajidae,RAJIFORMES
56,Dosinia spp,Dosinias nei,Veneridae,BIVALVIA
56,Mactra spp,Trough shells nei,Mactridae,BIVALVIA
33,Pomacentridae,Damselfishes,Pomacentridae,PERCOIDEI
34,Schedophilus spp,Schedophilus nei,Centrolophidae,"STROMATEOIDEI, ANABANTOIDEI"
23,Salangidae,Icefishes nei,Salangidae,SALMONIFORMES
76,Euryalida,Basket stars,,OPHIUROIDEA
77,Anthoathecatae,"Hydroids, hydromedusae",,HYDROZOA
77,Xenophyophora,Xenophyophores,,XENOPHYOPHORA
77,Pterobranchia,Pterobranchs,,PTEROBRANCHIA
47,Bathylasmatidae,,Bathylasmatidae,THORACICA
77,Serpulidae,Serpulid tube worms,Serpulidae,POLYCHAETA
77,Annelida,Annelid worms,,ANNELIDA
77,Brachiopoda,"Brachiopods, lamp shells",,BRACHIOPODA
76,Ophiurida,Brittle and snake stars,,OPHIUROIDEA
76,Cidaridae,Pencil urchins,Cidaridae,ECHINOIDEA
77,Bryozoa,Bryozoans,,BRYOZOA
83,Porifera,,,PORIFERA
83,Hexactinellida,Glass sponges,,HEXACTINELLIDA
83,Demospongiae,Siliceous sponges,,DEMOSPONGIAE
33,Saurida spp,,Synodontidae,AULOPIFORMES
13,Wallago spp,,Siluridae,SILURIFORMES
33,Sillago spp,,Sillaginidae,PERCOIDEI
57,Sepia spp,Cuttlefishes nei,Sepiidae,CEPHALOPODA
33,Pennahia spp,,Sciaenidae,PERCOIDEI
33,Johnius spp,,Sciaenidae,PERCOIDEI
